[2025-10-29 18:28:37] [INFO    ] discord.client: logging in using static token
[2025-10-29 18:28:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-29 18:28:38] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-29 18:28:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1432896861198618745', 'username': 'RheneFlavicomans', 'avatar': '21d7d03cf8696d402651ba2a4f2edb04', 'discriminator': '2057', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '1f5d85b9333c84622de31b0b0ebccf9c', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-29 18:28:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-29 18:28:38] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-29 18:28:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1432896861198618745', 'name': 'Rhene', 'icon': '21d7d03cf8696d402651ba2a4f2edb04', 'description': "Um... I'm Rhene. Rhene Flavicomans. আমাকে কিছু টাকা দাও, আমি কিছু একটা করে ফেলবো! (Like, idk, smite someone)... I'm new to discord. I just wanna do my job.", 'type': None, 'bot': {'id': '1432896861198618745', 'username': 'RheneFlavicomans', 'avatar': '21d7d03cf8696d402651ba2a4f2edb04', 'discriminator': '2057', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '1f5d85b9333c84622de31b0b0ebccf9c', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '4107fe234f1bfb42d72f6e5dddee8429e36d509ed35f9e4bad7da113eefb7a34', 'flags': 565504, 'tags': ['jokebot', "Aditya'sOC", 'misc', 'spiderdude', 'notactuallyuseful'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1127838390725902438', 'username': 'ilikespidersandspaaaace', 'avatar': 'fa6220c1e4e67291551ffe612f13eb4b', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 12566463, 'global_name': 'Aditya the TEL’QUESSIR:3', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#bfbfbf', 'clan': {'identity_guild_id': '265565751010787328', 'identity_enabled': True, 'tag': 'ヘタリア', 'badge': '76e358d951d7bb7d73d4c80ea0b064a5'}, 'primary_guild': {'identity_guild_id': '265565751010787328', 'identity_enabled': True, 'tag': 'ヘタリア', 'badge': '76e358d951d7bb7d73d4c80ea0b064a5'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2278, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-29 18:28:39] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-29 18:28:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-tr3m",{"micros":0.0}]']}}
[2025-10-29 18:28:39] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-29 18:28:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
